[2025-12-21 14:11:08.014] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.025] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.036] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.047] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.058] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.069] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.081] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.092] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.103] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.114] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.125] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.136] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.147] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.158] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.169] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.181] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.192] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.203] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.214] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.225] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.236] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.247] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.258] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.270] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.280] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.292] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.303] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.314] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.325] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.336] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.347] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.358] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.370] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.381] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.392] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.403] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.414] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.425] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.436] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.447] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.459] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.470] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.481] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.492] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.503] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.514] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.525] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.536] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.547] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.558] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.569] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.581] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.592] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.603] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.625] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.636] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.648] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.659] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.669] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.681] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.692] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.703] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.714] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.725] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.736] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.748] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.758] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.769] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.781] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.792] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.803] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.814] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.825] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.836] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.847] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.858] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.870] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.882] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.892] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.903] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.914] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.925] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.937] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.947] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.959] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.970] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.981] [trace] [:] Rendering triangle.
[2025-12-21 14:11:08.992] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.003] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.014] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.025] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.036] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.047] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.059] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.070] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.081] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.092] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.103] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.114] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.125] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.136] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.147] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.158] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.170] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.181] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.192] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.203] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.214] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.225] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.236] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.247] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.259] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.270] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.281] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.292] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.303] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.314] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.325] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.337] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.347] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.359] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.370] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.381] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.392] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.403] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.414] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.425] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.437] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.447] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.459] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.470] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.481] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.492] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.503] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.514] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.525] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.536] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.547] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.558] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.570] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.581] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.592] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.603] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.614] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.626] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.637] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.647] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.658] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.670] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.681] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.692] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.703] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.714] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.725] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.737] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.747] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.759] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.770] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.781] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.792] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.803] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.814] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.825] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.836] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.849] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.858] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.870] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.881] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.892] [trace] [:] Rendering triangle.
